"cardnum_amount_month_diff_avg_1","cardnum_amount_month_diff_sum_1","cardnum_amount_avg_1","cardnum_amount_avg_3","cardnum_amount_month_diff_sum_3","merchantnum_amount_month_diff_max_1","cardnum_amount_week_diff_sum_3","cardnum_amount_week_diff_sum_1","merchantnum_amount_sum_1","cardnum_amount_sum_1","cardnum_amount_max_1","merchantnum_amount_avg_1","merchantnum_amount_week_diff_avg_1","cardnum_amount_week_diff_sum_7","cardnum_amount_avg_7","cardnum_amount_sum_3","merchantnum_amount_max_3","cardnum_amount_month_diff_avg_7","merchantnum_amount_month_diff_sum_1","cardnum_amount_month_diff_sum_15","cardnum_amount_week_diff_sum_15","merchantnum_amount_month_diff_avg_3","cardnum_amount_week_diff_max_3","cardnum_amount_max_3","cardnum_amount_month_diff_avg_15","Fraud"
-53.6491664187804,-53.6491664187804,370,370,-53.6491664187804,-53.6491664187804,-5.42914775160597,-5.42914775160597,370,370,370,370,-5.42914775160597,-3233.58874302305,253.337619047619,370,370,-116.186842396865,-53.6491664187804,-299.581271358726,-1270.58670505346,-53.6491664187804,-5.42914775160597,370,-10.6993311199545,0
-106.114389202589,-106.114389202589,296.7,178.08,-685.62932097511,-106.114389202589,-643.915012778924,-113.660760351844,296.7,296.7,296.7,296.7,-113.660760351844,-1034.95346609032,134.15,534.24,296.7,-276.729621848473,-106.114389202589,-3445.56808912549,-3796.51244057491,-106.114389202589,-113.660760351844,296.7,-265.043699163499,0
-218.153188593156,-436.306377186312,204.195,204.195,-436.306377186312,-22.3481885931559,-431.542783313405,-431.542783313405,400,408.39,400,400,-19.9663916567026,-717.011887154088,169.773333333333,408.39,400,-252.574855259823,-22.3481885931559,-1105.07275437262,-1061.97827881079,-22.3481885931559,-19.9663916567026,400,-276.268188593156,0
-336.38696969697,-1009.16090909091,47.8266666666667,45.1175,-1337.1454047619,-255.213636363636,-1366.91576679989,-1000.70544575919,129,143.48,129,129,-252.395148586397,-315.786385013378,342.512857142857,180.47,129,-47.6705028959396,-255.213636363636,-2458.00768520304,-2269.87060300765,-255.213636363636,-252.395148586397,129,-175.571977514503,0
-164.233940146367,-328.467880292734,212.5,165.82,-632.741820439101,44.016059853633,-651.729401013476,-337.790297172794,425,425,420.75,212.5,-168.895148586397,578.304207329821,536.865,497.46,420.75,160.131059853633,-328.467880292734,500.126359121798,418.575999648455,-164.233940146367,39.3548514136032,420.75,83.3543931869663,0
-398.348188593156,-398.348188593156,24,24,-398.348188593156,-398.348188593156,-362.399103840683,-362.399103840683,24,24,24,24,-362.399103840683,-748.79942488138,20.4,24,24,-390.505854693287,-398.348188593156,-781.011709386574,-748.79942488138,-398.348188593156,-362.399103840683,24,-390.505854693287,0
-318.369782672112,-318.369782672112,48,186.6775,-757.341299328482,-318.369782672112,-877.818252940499,-333.395148586397,71.84,48,48,35.92,-345.475148586397,-877.818252940499,186.6775,746.71,48,-189.335324832121,-660.899565344224,-757.341299328482,-877.818252940499,-330.449782672112,29.949678959303,433.15,-189.335324832121,0
-281.974495670996,-281.974495670996,83,83,-281.974495670996,-281.974495670996,-310.398453311394,-310.398453311394,83,83,83,83,-310.398453311394,-310.398453311394,83,83,83,-281.974495670996,-281.974495670996,204.851008658009,148.003093377211,-281.974495670996,-310.398453311394,83,102.425504329004,0
-11.0594956709957,-22.1189913419913,353.915,353.915,-22.1189913419913,-87.1144956709957,-64.9682076813655,-64.9682076813655,277.86,707.83,429.97,277.86,-108.539103840683,-365.092275157559,357.555,707.83,277.86,-7.41949567099567,-87.1144956709957,1343.44504329004,937.330572833895,-87.1144956709957,43.5708961593173,429.97,134.344504329004,0
-252.000303030303,-3024.00363636364,132.213333333333,132.213333333333,-3024.00363636364,-131.013636363636,-3050.22924608819,-3050.22924608819,1586.56,1586.56,253.2,132.213333333333,-254.185770507349,-3363.92956712889,128.927692307692,1586.56,253.2,-255.285944055944,-3024.00363636364,-3318.71727272727,-3363.92956712889,-326.043958944282,-133.199103840683,253.2,-255.285944055944,0
